MDT_CORRIDOR_ID,SMS_REFPOST_OFFSET,CITY,COUNTY,Month,Year,SMS_TIME,SMT_CRASH_OCC_DAY_OF_WEEK,JUNCTION_RELATED,ROADWAY_RELATED,WEATHER_COND,ROAD_COND,LIGHT_COND,CRASH_SEVERITY,COLLISION_TYPE,LATITUDE,LONGITUDE,Ennis Distance,Virginia City Distance
C000013N,049+0.687,ENNIS,MADISON,JULY,2017,21:53,TUE,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL,45.35851125,-111.7319486,0.639383041,11.1084341
C000013N,050+0.059,NOT IN CITY LIMITS,MADISON,APRIL,2017,12:15,THU,NON-JUNCTION,ROADSIDE LEFT,CLOUDY,DRY,DAYLIGHT,FATAL ACCIDENT,ROLL OVER,45.36299414,-111.7311288,0.950917871,11.27182851
C000013N,050+0.102,,MADISON,August,2015,16:30,TUE,INTERSECTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,HEAD ON,45.36355622,-111.7310902,0.989789332,11.28993517
C000013N,050+0.227,,MADISON,January,2015,7:37,TUE,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAWN,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL,45.36539904,-111.7308601,1.117587784,11.35456203
C000013N,050+0.910,,MADISON,November,2013,16:14,SAT,NON-JUNCTION,ON ROADWAY,CLEAR,WET,DAYLIGHT,FATAL ACCIDENT,HEAD ON,45.37534881,-111.7306114,1.804523395,11.67907677
C000013N,051+0.695,,MADISON,May,2016,12:07,TUE,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR-END,45.38662429,-111.7307514,2.582632512,12.06625709
C000013N,052+0.283,,MADISON,June,2016,15:50,FRI,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,OTHER,45.39516818,-111.730759,3.172683191,12.38819406
C000013N,053+0.120,,MADISON,May,2015,16:05,SUN,INTERSECTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),"SIDESWIPE, SAME DIRECTION",45.40726829,-111.7308093,4.008428937,12.87517956
C000013N,053+0.200,,MADISON,December,2016,21:45,TUE,NON-JUNCTION,ON ROADWAY,CLEAR,ICE/FROST,DARK-NOT LIGHTED,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,ROLL OVER,45.4084381,-111.730821,4.089226549,12.92389185
C000013N,053+0.534,,MADISON,April,2015,17:11,THU,NON-JUNCTION,ROADSIDE RIGHT,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT,45.41325498,-111.7309596,4.421858149,13.12439266
C000013N,053+0.634,NOT IN CITY LIMITS,MADISON,AUGUST,2017,13:30,WED,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIRE/ EXPLOSION,45.41468178,-111.730953,4.520431752,13.18660437
C000013N,053+0.640,NOT IN CITY LIMITS,MADISON,JANUARY,2017,5:40,MON,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL,45.4147703,-111.7310252,4.526489597,13.18774699
C000013N,054+0.171,,MADISON,August,2015,21:20,THU,INTERSECTION,ON ROADWAY,CLEAR,DRY,DARK-LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT,45.4225094,-111.7311754,5.061049343,13.52611598
C000013N,054+0.196,NOT IN CITY LIMITS,MADISON,JULY,2017,8:00,TUE,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL,45.42291812,-111.7311514,5.089301879,13.54550668
C000013N,054+0.877,VIRGINIA CITY,MADISON,December,2016,18:30,TUE,NON-JUNCTION,ROADSIDE LEFT,SNOW,ICE/FROST,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT,45.43259317,-111.7314126,5.757601001,13.98394064
C000013N,055+0.604,,MADISON,November,2014,17:55,SUN,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DARK-LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL,45.44334988,-111.7314973,6.500756643,14.49906725
C000013N,055+0.667,,MADISON,November,2014,18:40,MON,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL,45.44418,-111.7317,6.558043853,14.53296838
C000013N,056+0.415,NOT IN CITY LIMITS,MADISON,NOVEMBER,2017,17:42,SUN,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL,45.45378407,-111.7315452,7.221655093,15.01815171
C000013N,056+0.514,,MADISON,April,2016,6:50,WED,NON-JUNCTION,ON ROADWAY,UNKNOWN,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL,45.45519495,-111.7311791,7.319271487,15.10182974
C000013N,056+0.917,,MADISON,June,2014,21:15,SAT,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DUSK,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL,45.46104708,-111.7300863,7.724227168,15.43711509
C000013N,056+0.935,,MADISON,November,2016,5:54,WED,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL,45.46128926,-111.7300204,7.741007612,15.45173173
C000013N,056+1.000,,MADISON,December,2013,19:34,MON,NON-JUNCTION,OFF ROADWAY LOCATION UNKNOWN,SNOW,ICE/FROST,DARK-LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER,45.4622227,-111.7299494,7.805548454,15.5022322
C000013N,057+0.202,,MADISON,March,2014,16:50,SAT,NON-JUNCTION,ON ROADWAY,CLOUDY,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT,45.46554004,-111.7277768,8.037051179,15.74377309
C000013N,057+0.278,,MADISON,October,2016,17:35,FRI,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL,45.46652433,-111.7267657,8.106571308,15.82720687
C000013N,057+0.350,,MADISON,October,2013,14:30,THU,NON-JUNCTION,ON ROADWAY,BLOWING SNOW,ICE/FROST,DAYLIGHT,POSSIBLE INJURY ACCIDENT,REAR-END,45.46701693,-111.7254829,8.142956849,15.89380008
C000013N,057+0.555,,MADISON,December,2014,20:30,TUE,NON-JUNCTION,ON ROADWAY,CLEAR,SNOW,DARK-LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT,45.46907167,-111.7225133,8.291985003,16.09544265
C000013N,058+0.337,,MADISON,June,2016,23:30,SAT,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER,45.47791264,-111.7122481,8.942829392,16.88258927
C000013N,058+0.750,,MADISON,February,2013,0:01,TUE,NON-JUNCTION,ROADSIDE LEFT,CLOUDY,ICE/FROST,DARK-NOT LIGHTED,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,ROLL OVER,45.48262167,-111.7067167,9.298574086,17.3038887
C000013N,058+0.883,,MADISON,September,2015,19:25,FRI,NON-JUNCTION,ROADSIDE LEFT,CLEAR,DRY,DUSK,POSSIBLE INJURY ACCIDENT,ROLL OVER,45.48390907,-111.7051045,9.397464717,17.4222597
C000013N,058+0.943,NOT IN CITY LIMITS,MADISON,MAY,2017,14:11,SUN,NON-JUNCTION,ROADSIDE RIGHT,RAIN,WATER (STANDING MOVING),DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT,45.48469827,-111.7044761,9.455781884,17.48333093
C000013N,059+0.309,,MADISON,February,2014,12:02,WED,NON-JUNCTION,ON ROADWAY,CLEAR,SNOW,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR-END,45.48958803,-111.70191,9.808292765,17.81984534
C000013N,059+0.631,,MADISON,January,2015,7:35,THU,NON-JUNCTION,SHOULDER,CLEAR,ICE/FROST,DAWN,POSSIBLE INJURY ACCIDENT,FIXED OBJECT,45.4931367,-111.6978723,10.08149868,18.13324472
C000013N,059+0.700,,MADISON,February,2013,17:00,MON,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT,45.49394337,-111.6968087,10.14513405,18.20909517
C000013N,059+0.798,,MADISON,October,2014,10:45,THU,NON-JUNCTION,ON ROADWAY,SEVERE CROSSWINDS,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIRE/ EXPLOSION,45.49527252,-111.6963809,10.23916054,18.29222689
C000013N,059+0.820,,MADISON,October,2013,7:54,MON,NON-JUNCTION,SHOULDER,SNOW,SNOW,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT,45.49570438,-111.6964137,10.26828768,18.31384781
C000013N,060+0.043,NOT IN CITY LIMITS,MADISON,FEBRUARY,2017,7:50,FRI,NON-JUNCTION,ON ROADWAY,CLOUDY,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT,45.4988029,-111.69663,10.47754773,18.47024401
C000013N,060+0.220,,MADISON,February,2013,13:15,FRI,NON-JUNCTION,ROADSIDE RIGHT,BLOWING SNOW,ICE/FROST,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,FIXED OBJECT,45.50106167,-111.6948,10.64635783,18.64672749
C000013N,060+0.300,,MADISON,November,2015,6:40,FRI,NON-JUNCTION,OUTSIDE RIGHT-OF-WAY (TRAFFICWAY),CLOUDY,ICE/FROST,DARK-LIGHTED,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,ROLL OVER,45.50186167,-111.6937433,10.70969007,18.72196479
C000013N,060+0.324,,MADISON,July,2016,10:00,MON,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL,45.50227926,-111.693636,10.73900688,18.74740629
C000013N,060+0.642,NOT IN CITY LIMITS,MADISON,APRIL,2017,9:50,SAT,NON-JUNCTION,ROADSIDE RIGHT,CLEAR,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER,45.50667906,-111.6929123,11.04444604,19.00360813
C000013N,060+0.947,,MADISON,March,2014,15:50,MON,NON-JUNCTION,ROADSIDE RIGHT,SNOW,SNOW,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT,45.51059664,-111.6903428,11.332906,19.2917925
C000013N,061+0.487,,MADISON,February,2016,8:15,SUN,NON-JUNCTION,ROADSIDE RIGHT,CLEAR,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER,45.51763734,-111.6873079,11.83805171,19.76242452
C000013N,062+0.308,,MADISON,April,2015,17:00,MON,NON-JUNCTION,SHOULDER,SNOW,SLUSH,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,FIXED OBJECT,45.52617,-111.6982,12.33560423,19.90833176
C000013N,062+0.720,,MADISON,February,2013,13:14,SUN,DRIVEWAY/ALLEY ACCESS RELATED,ON ROADWAY,CLEAR,SLUSH,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),"RIGHT TURN, SAME DIRECTION",45.53204566,-111.6996159,12.72918649,20.19641197
C000013N,062+0.928,,MADISON,December,2015,9:15,WED,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT,45.53502167,-111.7001,12.93033537,20.35045031
C000013N,063+0.163,,MADISON,January,2014,1:30,THU,NON-JUNCTION,ROADSIDE LEFT,CLEAR,DRY,DARK-NOT LIGHTED,FATAL ACCIDENT,ROLL OVER,45.538225,-111.6998633,13.15142163,20.53824334
C000013N,064+0.020,,MADISON,June,2015,11:00,TUE,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL,45.55014932,-111.6958176,13.99323091,21.32836106
C000013N,064+0.210,,MADISON,January,2013,16:19,THU,NON-JUNCTION,ROADSIDE LEFT,BLOWING SNOW,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER,45.55286,-111.694755,14.18556951,21.51242398
C000013N,064+0.505,,MADISON,December,2016,0:00,TUE,NON-JUNCTION,ON ROADWAY,BLOWING SNOW,SNOW,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR-END,45.55692278,-111.6933946,14.47246245,21.78240319
C000013N,064+0.770,,MADISON,December,2013,7:00,SAT,NON-JUNCTION,ROADSIDE LEFT,CLEAR,ICE/FROST,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER,45.56082124,-111.6922461,14.74679599,22.03772338
C000013N,065+0.184,NOT IN CITY LIMITS,MADISON,SEPTEMBER,2017,11:33,MON,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT,45.566526,-111.6904532,15.14901448,22.41513213
C000013N,065+0.410,,MADISON,January,2013,14:00,THU,DRIVEWAY/ALLEY ACCESS RELATED,ON ROADWAY,SNOW,SNOW,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),OTHER,45.56990538,-111.690682,15.3789414,22.60539381
C000013N,065+0.438,,MADISON,July,2014,17:00,FRI,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,UNKNOWN,REAR-END,45.57012868,-111.6907453,15.39383115,22.61673873
C000013N,066+0.152,,MADISON,October,2015,23:30,SAT,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL,45.57852508,-111.6984889,15.92587442,22.91229755
C000013N,068+0.003,,MADISON,August,2015,17:00,SAT,NON-JUNCTION,ON ROADWAY,"FOG, SMOG, SMOKE",DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT,45.60143,-111.71674,17.43961072,23.865577
C000013N,069+0.569,,MADISON,August,2016,22:13,FRI,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL,45.62159612,-111.7310468,18.81632821,24.81966528
C000013N,069+0.588,,MADISON,May,2015,23:00,SUN,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL,45.62187614,-111.7310696,18.83567144,24.83684134
C000013N,069+0.613,,MADISON,September,2016,21:40,FRI,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-LIGHTED,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,WILD ANIMAL,45.62225445,-111.7312354,18.86178179,24.85736913
C000013N,069+0.668,,MADISON,December,2016,12:35,TUE,NON-JUNCTION,ROADSIDE LEFT,BLOWING SNOW,ICE/FROST,DAYLIGHT,POSSIBLE INJURY ACCIDENT,ROLL OVER,45.62295258,-111.7318716,18.90994151,24.88874933
